bridge_id,sb_match_id,competition_label,kickoff_date,norm_home,norm_away,regulation_result,old_cache_root,local_file_status,local_sha256,lake_status,lake_sha256,retrieval_decision,reason
975202267ca7c32a,7549,FIFA World Cup 2018,2018-06-22,nigeria,iceland,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
0f2290227074ca48,7550,FIFA World Cup 2018,2018-06-22,serbia,switzerland,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
4b1928632b27457b,7551,FIFA World Cup 2018,2018-06-23,germany,sweden,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
e387278cd2444a71,7552,FIFA World Cup 2018,2018-06-23,belgium,tunisia,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
a35916e7737bcfb0,7553,FIFA World Cup 2018,2018-06-23,south korea,mexico,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
6dc2dd9a2dfc0817,7554,FIFA World Cup 2018,2018-06-24,england,panama,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
ccf27d0f02109418,7555,FIFA World Cup 2018,2018-06-24,poland,colombia,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
67be4ec49ed58f04,7556,FIFA World Cup 2018,2018-06-24,japan,senegal,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
43a67733ee5afdc6,7557,FIFA World Cup 2018,2018-06-25,iran,portugal,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
ad6ba991b03c214a,7558,FIFA World Cup 2018,2018-06-25,uruguay,russia,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
c50a844f4ec1baba,7559,FIFA World Cup 2018,2018-06-25,saudi arabia,egypt,home,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
6e2696e0d71b3951,7560,FIFA World Cup 2018,2018-06-25,spain,morocco,draw,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
71eaaa5cfe6d560f,7561,FIFA World Cup 2018,2018-06-26,iceland,croatia,away,,absent,,absent,,retrieve_official,no valid local file; fetch from official open-data
