rank,match_id,competition_id,season_id,competition,season,match_date,home,away
646,3817853,1238,108,Indian Super league,2021/2022,2022-01-19,Goa,East Bengal
647,3900569,7,27,Ligue 1,2015/2016,2015-12-20,Saint-Étienne,Angers
648,3754249,2,27,Premier League,2015/2016,2016-03-05,Manchester City,Aston Villa
649,3879558,12,27,Serie A,2015/2016,2015-10-03,Carpi,Torino
650,3817886,1238,108,Indian Super league,2021/2022,2022-02-04,Kerala Blasters,NorthEast United
651,3900540,7,27,Ligue 1,2015/2016,2015-12-04,OGC Nice,Paris Saint-Germain
652,3754177,2,27,Premier League,2015/2016,2016-03-05,Newcastle United,AFC Bournemouth
653,3879794,12,27,Serie A,2015/2016,2016-03-20,Atalanta,Bologna
654,3813308,1238,108,Indian Super league,2021/2022,2021-12-24,Odisha,Goa
655,3901201,7,27,Ligue 1,2015/2016,2016-04-03,Bastia,Olympique de Marseille
656,3753990,2,27,Premier League,2015/2016,2016-04-24,Sunderland,Arsenal
657,3879566,12,27,Serie A,2015/2016,2015-10-04,Udinese,Genoa
658,3817877,1238,108,Indian Super league,2021/2022,2022-02-18,NorthEast United,Bengaluru
659,3829510,7,27,Ligue 1,2015/2016,2015-10-18,Rennes,OGC Nice
660,3754311,2,27,Premier League,2015/2016,2015-11-07,Norwich City,Swansea City
661,3879713,12,27,Serie A,2015/2016,2016-01-31,Chievo,Juventus
662,3813281,1238,108,Indian Super league,2021/2022,2021-12-11,Mohun Bagan Super Giant,Chennaiyin
663,3900598,7,27,Ligue 1,2015/2016,2016-01-24,AS Monaco,Toulouse
664,3754017,2,27,Premier League,2015/2016,2015-10-24,Aston Villa,Swansea City
665,3879759,12,27,Serie A,2015/2016,2016-02-28,Juventus,Inter Milan
666,3817887,1238,108,Indian Super league,2021/2022,2022-03-05,SC Delhi,Mumbai City
667,3901213,7,27,Ligue 1,2015/2016,2016-04-10,OGC Nice,Rennes
668,3753999,2,27,Premier League,2015/2016,2015-10-17,Watford,Arsenal
669,3879659,12,27,Serie A,2015/2016,2015-12-20,Inter Milan,Lazio
