rank,match_id,competition_id,season_id,competition,season,match_date,home,away
232,3825729,11,27,La Liga,2015/2016,2016-01-10,Villarreal,Sporting Gijón
233,267569,11,2,La Liga,2016/2017,2017-04-23,Real Madrid,Barcelona
234,9754,11,1,La Liga,2017/2018,2018-01-14,Real Sociedad,Barcelona
235,16196,11,4,La Liga,2018/2019,2019-03-02,Real Madrid,Barcelona
236,303516,11,42,La Liga,2019/2020,2020-06-27,Celta Vigo,Barcelona
237,3773587,11,90,La Liga,2020/2021,2020-10-17,Getafe,Barcelona
238,3900523,7,27,Ligue 1,2015/2016,2015-11-28,Stade de Reims,Rennes
239,3802685,7,108,Ligue 1,2021/2022,2021-12-04,Lens,Paris Saint-Germain
240,3837928,7,235,Ligue 1,2022/2023,2023-04-02,Paris Saint-Germain,Lyon
241,3749310,2,44,Premier League,2003/2004,2003-12-29,Southampton,Arsenal
242,3754211,2,27,Premier League,2015/2016,2015-11-21,Newcastle United,Leicester City
243,3879698,12,27,Serie A,2015/2016,2016-01-23,Empoli,AC Milan
244,3890382,9,27,1. Bundesliga,2015/2016,2015-11-29,Bayer Leverkusen,Schalke 04
245,3895139,9,281,1. Bundesliga,2023/2024,2023-11-12,Bayer Leverkusen,Union Berlin
246,3817890,1238,108,Indian Super league,2021/2022,2022-01-14,Goa,NorthEast United
247,68348,11,38,La Liga,2005/2006,2006-01-07,Espanyol,Barcelona
248,69179,11,39,La Liga,2006/2007,2007-04-07,Real Zaragoza,Barcelona
249,69158,11,40,La Liga,2007/2008,2007-10-28,Barcelona,Almería
250,69177,11,41,La Liga,2008/2009,2009-03-15,Almería,Barcelona
251,69267,11,21,La Liga,2009/2010,2009-12-02,Xerez,Barcelona
252,69248,11,22,La Liga,2010/2011,2011-02-12,Sporting Gijón,Barcelona
253,70224,11,23,La Liga,2011/2012,2012-04-29,Rayo Vallecano,Barcelona
