canonical_match_id,provider_fixture_id,league_name,season,comp_type,kickoff_utc,cohort,raw_events_state,raw_lineups_state,execution_status
39/2020/2020-11-01/47/51,592209,EPL,2020,club,2020-11-01T19:15:00+00:00,player_history_club,complete,complete,complete
39/2020/2020-12-17/62/33,592266,EPL,2020,club,2020-12-17T20:00:00+00:00,player_history_club,complete,complete,complete
39/2020/2020-11-21/33/60,592226,EPL,2020,club,2020-11-21T20:00:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-02-14/45/36,592730,EPL,2020,club,2021-02-14T19:00:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-02-06/36/48,592363,EPL,2020,club,2021-02-06T17:30:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-05-23/66/49,592867,EPL,2020,club,2021-05-23T15:00:00+00:00,player_history_club,complete,complete,complete
39/2020/2020-11-08/46/39,592216,EPL,2020,club,2020-11-08T14:00:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-05-18/41/63,592863,EPL,2020,club,2021-05-18T17:00:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-01-27/33/62,592334,EPL,2020,club,2021-01-27T20:15:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-01-28/47/40,592339,EPL,2020,club,2021-01-28T20:00:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-05-23/48/41,592874,EPL,2020,club,2021-05-23T15:00:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-05-09/48/45,592844,EPL,2020,club,2021-05-09T15:30:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-01-20/36/33,592313,EPL,2020,club,2021-01-20T20:15:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-05-15/44/63,592847,EPL,2020,club,2021-05-15T11:30:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-03-06/44/42,592758,EPL,2020,club,2021-03-06T12:30:00+00:00,player_history_club,complete,complete,complete
39/2020/2021-04-03/42/40,592786,EPL,2020,club,2021-04-03T19:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-11-21/47/50,592229,EPL,2020,club,2020-11-21T17:30:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-05-16/60/40,592850,EPL,2020,club,2021-05-16T15:30:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-02-17/44/36,592302,EPL,2020,club,2021-02-17T18:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-12-06/47/42,592248,EPL,2020,club,2020-12-06T16:30:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-11-01/34/45,592207,EPL,2020,club,2020-11-01T14:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-01-31/48/40,592350,EPL,2020,club,2021-01-31T16:30:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-01-31/46/63,592346,EPL,2020,club,2021-01-31T14:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-12-20/60/66,592280,EPL,2020,club,2020-12-20T19:15:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-02-28/49/33,592746,EPL,2020,club,2021-02-28T16:30:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-11-22/40/46,592225,EPL,2020,club,2020-11-22T19:15:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-02-07/47/60,592369,EPL,2020,club,2021-02-07T12:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-10-17/50/42,592186,EPL,2020,club,2020-10-17T16:30:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-10-03/34/44,592178,EPL,2020,club,2020-10-03T19:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-05-08/50/49,592842,EPL,2020,club,2021-05-08T16:30:00+00:00,player_history_club,pending,pending,pending
39/2020/2020-09-20/41/47,592159,EPL,2020,club,2020-09-20T11:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-02-20/44/60,592739,EPL,2020,club,2021-02-20T15:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-05-23/39/33,592875,EPL,2020,club,2021-05-23T15:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-02-22/51/52,592738,EPL,2020,club,2021-02-22T20:00:00+00:00,player_history_club,pending,pending,pending
39/2020/2021-02-17/45/50,592295,EPL,2020,club,2021-02-17T20:15:00+00:00,player_history_club,pending,pending,pending
