official_sb_match_id,competition,season,competition_label,match_date,official_norm_home,official_norm_away,official_fulltime_result,local_bridge_id,local_sb_match_id,local_regulation_result,orientation,classification
3939970,Copa America,2024,Copa America 2024,2024-06-22,peru,chile,draw,f1977ba28c990cde,3939970,draw,same,exact
3939971,Copa America,2024,Copa America 2024,2024-06-23,mexico,jamaica,home,10936c18cfb16b02,3939971,home,same,exact
3939972,Copa America,2024,Copa America 2024,2024-06-22,ecuador,venezuela,away,80446bc617c7b018,3939972,away,same,exact
3939973,Copa America,2024,Copa America 2024,2024-06-24,uruguay,panama,home,ca8d6668edf96f72,3939973,home,same,exact
3939974,Copa America,2024,Copa America 2024,2024-06-23,united states,bolivia,home,36850aa54b9ce0d3,3939974,home,same,exact
3939975,Copa America,2024,Copa America 2024,2024-06-24,colombia,paraguay,home,36b551a4e8c6aa99,3939975,home,same,exact
3939976,Copa America,2024,Copa America 2024,2024-06-25,brazil,costa rica,draw,427333c98c5c9347,3939976,draw,same,exact
3939977,Copa America,2024,Copa America 2024,2024-06-26,chile,argentina,away,4dcf1c7ae59a84d3,3939977,away,same,exact
3939978,Copa America,2024,Copa America 2024,2024-06-25,peru,canada,away,,,,,team_name_mismatch
3939979,Copa America,2024,Copa America 2024,2024-06-27,venezuela,mexico,home,5b2434fd8dc86d6f,3939979,home,same,exact
3939980,Copa America,2024,Copa America 2024,2024-06-26,ecuador,jamaica,home,,,,,team_name_mismatch
3939981,Copa America,2024,Copa America 2024,2024-06-27,panama,united states,home,,,,,team_name_mismatch
3939982,Copa America,2024,Copa America 2024,2024-06-28,uruguay,bolivia,home,df8a7eaa69b23a42,3939982,home,same,exact
3939983,Copa America,2024,Copa America 2024,2024-06-29,paraguay,brazil,away,afc42981d8a96b36,3939983,away,same,exact
3939984,Copa America,2024,Copa America 2024,2024-06-28,colombia,costa rica,home,,,,,team_name_mismatch
3939985,Copa America,2024,Copa America 2024,2024-06-30,canada,chile,draw,ac1085e2a79d06d4,3939985,draw,same,exact
3939986,Copa America,2024,Copa America 2024,2024-06-30,argentina,peru,home,54de3e7d0882d085,3939986,home,same,exact
3939987,Copa America,2024,Copa America 2024,2024-07-01,jamaica,venezuela,away,d6692947c2f3625b,3939987,away,same,exact
3939988,Copa America,2024,Copa America 2024,2024-07-01,mexico,ecuador,draw,3fc376fbaf125737,3939988,draw,same,exact
3939989,Copa America,2024,Copa America 2024,2024-07-02,bolivia,panama,away,fe68285d6f64a140,3939989,away,same,exact
3939990,Copa America,2024,Copa America 2024,2024-07-02,united states,uruguay,away,9a33a8f0c533cfae,3939990,away,same,exact
3939991,Copa America,2024,Copa America 2024,2024-07-03,brazil,colombia,draw,8e2dfdabd76452d2,3939991,draw,same,exact
3939992,Copa America,2024,Copa America 2024,2024-07-03,costa rica,paraguay,home,a7b9945d76e65bf7,3939992,home,same,exact
3942228,Copa America,2024,Copa America 2024,2024-07-05,argentina,ecuador,draw,ad96917c0fc04ca3,3942228,draw,same,exact
3942229,Copa America,2024,Copa America 2024,2024-07-06,venezuela,canada,draw,3c90b05847d1900a,3942229,draw,same,exact
3942415,Copa America,2024,Copa America 2024,2024-07-07,uruguay,brazil,draw,d642fca9d1dbd9db,3942415,draw,same,exact
3942416,Copa America,2024,Copa America 2024,2024-07-06,colombia,panama,home,96bdddf68572d5ab,3942416,home,same,exact
3942785,Copa America,2024,Copa America 2024,2024-07-10,argentina,canada,home,1afca37c0f2ba701,3942785,home,same,exact
3942852,Copa America,2024,Copa America 2024,2024-07-11,uruguay,colombia,away,d7249cc880aec558,3942852,away,same,exact
3943076,Copa America,2024,Copa America 2024,2024-07-14,canada,uruguay,draw,6e79d8c8214586e3,3943076,draw,same,exact
3943077,Copa America,2024,Copa America 2024,2024-07-15,argentina,colombia,home,fee5e18d7236022e,3943077,draw,same,score_mismatch
3888704,FIFA World Cup,1958,FIFA World Cup 1958,1958-06-24,brazil,france,home,,,,,missing_local_match
3888705,FIFA World Cup,1958,FIFA World Cup 1958,1958-06-29,brazil,sweden,home,,,,,missing_local_match
3888854,FIFA World Cup,1962,FIFA World Cup 1962,1962-05-30,brazil,mexico,home,,,,,missing_local_match
3888699,FIFA World Cup,1970,FIFA World Cup 1970,1970-06-03,brazil,czechoslovakia,home,,,,,missing_local_match
3888700,FIFA World Cup,1970,FIFA World Cup 1970,1970-06-07,brazil,england,home,,,,,missing_local_match
3888701,FIFA World Cup,1970,FIFA World Cup 1970,1970-06-17,brazil,uruguay,home,,,,,missing_local_match
3888702,FIFA World Cup,1970,FIFA World Cup 1970,1970-06-21,brazil,italy,home,,,,,missing_local_match
3889217,FIFA World Cup,1970,FIFA World Cup 1970,1970-06-09,brazil,romania,home,,,,,missing_local_match
3889218,FIFA World Cup,1970,FIFA World Cup 1970,1970-06-14,brazil,peru,home,,,,,missing_local_match
3750180,FIFA World Cup,1974,FIFA World Cup 1974,1974-06-22,german dr,germany,home,,,,,missing_local_match
3888716,FIFA World Cup,1974,FIFA World Cup 1974,1974-06-19,netherlands,sweden,draw,,,,,missing_local_match
3888717,FIFA World Cup,1974,FIFA World Cup 1974,1974-06-26,netherlands,argentina,home,,,,,missing_local_match
3888718,FIFA World Cup,1974,FIFA World Cup 1974,1974-06-30,german dr,netherlands,away,,,,,missing_local_match
3888719,FIFA World Cup,1974,FIFA World Cup 1974,1974-07-03,netherlands,brazil,home,,,,,missing_local_match
3888720,FIFA World Cup,1974,FIFA World Cup 1974,1974-07-07,netherlands,germany,away,,,,,missing_local_match
3750191,FIFA World Cup,1986,FIFA World Cup 1986,1986-06-22,argentina,england,home,,,,,missing_local_match
3889148,FIFA World Cup,1986,FIFA World Cup 1986,1986-06-25,argentina,belgium,home,,,,,missing_local_match
3889149,FIFA World Cup,1986,FIFA World Cup 1986,1986-06-29,argentina,germany,home,,,,,missing_local_match
3793185,FIFA World Cup,1990,FIFA World Cup 1990,1990-06-24,brazil,argentina,away,,,,,missing_local_match
7525,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-14,russia,saudi arabia,home,425bbddb81ab0ac2,7525,home,same,exact
7529,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-16,croatia,nigeria,home,fdf321435822c18c,7529,home,same,exact
7530,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-16,france,australia,home,f2e922ec67e64d0e,7530,home,same,exact
7531,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-16,argentina,iceland,draw,7634c38e509a7aa4,7531,draw,same,exact
7532,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-16,peru,denmark,away,b51a6bdbbf6454a2,7532,away,same,exact
7533,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-17,brazil,switzerland,draw,a34feb385ff3abe9,7533,draw,same,exact
7534,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-17,germany,mexico,away,add53dc4ba98ae88,7534,away,same,exact
7535,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-17,costa rica,serbia,away,39a73bed08f0bd77,7535,away,same,exact
7536,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-18,belgium,panama,home,f617a74e2105acc4,7536,home,same,exact
7537,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-18,tunisia,england,away,db35331e117461e5,7537,away,same,exact
7538,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-18,sweden,south korea,home,b2d4706294562d1d,7538,home,same,exact
7539,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-19,poland,senegal,away,83021863c2dd398e,7539,away,same,exact
7540,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-19,russia,egypt,home,6e07b9c74f56f29b,7540,home,same,exact
7541,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-19,colombia,japan,away,c5c9e3e18f7059c4,7541,away,same,exact
7542,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-20,portugal,morocco,home,420895e961137fae,7542,home,same,exact
7543,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-20,iran,spain,away,8977cdf712634365,7543,away,same,exact
7544,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-20,uruguay,saudi arabia,home,412797e5b4bdb3c4,7544,home,same,exact
7545,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-21,argentina,croatia,away,1a98b6655189d73e,7545,away,same,exact
7546,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-21,france,peru,home,441351b0b4514309,7546,home,same,exact
7547,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-21,denmark,australia,draw,aa09afc193098b88,7547,draw,same,exact
7548,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-22,brazil,costa rica,home,3d0a422c8a1f2290,7548,home,same,exact
7549,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-22,nigeria,iceland,home,975202267ca7c32a,7549,home,same,exact
7550,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-22,serbia,switzerland,away,0f2290227074ca48,7550,away,same,exact
7551,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-23,germany,sweden,home,4b1928632b27457b,7551,home,same,exact
7552,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-23,belgium,tunisia,home,e387278cd2444a71,7552,home,same,exact
7553,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-23,south korea,mexico,away,a35916e7737bcfb0,7553,away,same,exact
7554,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-24,england,panama,home,6dc2dd9a2dfc0817,7554,home,same,exact
7555,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-24,poland,colombia,away,ccf27d0f02109418,7555,away,same,exact
7556,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-24,japan,senegal,draw,67be4ec49ed58f04,7556,draw,same,exact
7557,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-25,iran,portugal,draw,43a67733ee5afdc6,7557,draw,same,exact
7558,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-25,uruguay,russia,home,ad6ba991b03c214a,7558,home,same,exact
7559,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-25,saudi arabia,egypt,home,c50a844f4ec1baba,7559,home,same,exact
7560,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-25,spain,morocco,draw,6e2696e0d71b3951,7560,draw,same,exact
7561,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-26,iceland,croatia,away,71eaaa5cfe6d560f,7561,away,same,exact
7562,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-26,australia,peru,away,3dd4268c82d98634,7562,away,same,exact
7563,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-26,denmark,france,draw,cbad7b2d42a4efad,7563,draw,same,exact
7564,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-26,nigeria,argentina,away,2f0d7b27f11d7b31,7564,away,same,exact
7565,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-27,serbia,brazil,away,2280285b491f0550,7565,away,same,exact
7566,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-27,mexico,sweden,away,cd1d40a7249a6be6,7566,away,same,exact
7567,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-27,south korea,germany,home,5b60388ec70078a5,7567,home,same,exact
7568,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-27,switzerland,costa rica,draw,8e5fc30ead1a08c7,7568,draw,same,exact
7569,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-28,panama,tunisia,away,532976e6868bd263,7569,away,same,exact
7570,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-28,england,belgium,away,fddf2d295da8c1f0,7570,away,same,exact
7571,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-28,senegal,colombia,away,1bb2b14f977be084,7571,away,same,exact
7572,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-28,japan,poland,away,ec646708dacef441,7572,away,same,exact
7576,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-15,portugal,spain,draw,a17a50b50f5f2954,7576,draw,same,exact
7577,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-15,morocco,iran,away,e4ef7f1c119c402f,7577,away,same,exact
7578,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-15,egypt,uruguay,away,a429a0ba326ef338,7578,away,same,exact
7579,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-30,uruguay,portugal,home,f4230aa4f9bad997,7579,home,same,exact
7580,FIFA World Cup,2018,FIFA World Cup 2018,2018-06-30,france,argentina,home,9d7460a786442b70,7580,home,same,exact
7581,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-01,croatia,denmark,draw,23ce415808d5a705,7581,draw,same,exact
7582,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-01,spain,russia,draw,f4df68973baf40c1,7582,draw,same,exact
7583,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-02,brazil,mexico,home,8a49ccc81c7e5fa6,7583,home,same,exact
7584,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-02,belgium,japan,home,24250ad701243c6d,7584,home,same,exact
7585,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-03,colombia,england,draw,9ef3cd75f9404fc9,7585,draw,same,exact
7586,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-03,sweden,switzerland,home,0a6b85c9e1a47b97,7586,home,same,exact
8649,FIFA World Cup,2018,FIFA World Cup 2018,2018-07-06,uruguay,france,away,97ff7c9cf169612a,8649,away,same,exact
