sb_match_id,competition,season,competition_id,season_id,competition_label,match_date,home,away,norm_home,norm_away,home_score,away_score,fulltime_result,competition_stage,match_status,source_url
3920411,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-22,Cape Verde Islands,Egypt,cape verde,egypt,2,2,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920412,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-23,Guinea,Senegal,guinea,senegal,0,2,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920413,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-23,Gambia,Cameroon,gambia,cameroon,2,3,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920414,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-23,Angola,Burkina Faso,angola,burkina faso,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920415,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-23,Mauritania,Algeria,mauritania,algeria,1,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920416,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-24,South Africa,Tunisia,south africa,tunisia,0,0,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920417,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-24,Namibia,Mali,namibia,mali,0,0,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920418,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-24,Tanzania,Congo DR,tanzania,congo dr,0,0,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3920419,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-24,Zambia,Morocco,zambia,morocco,0,1,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922237,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-27,Angola,Namibia,angola,namibia,3,0,home,Round of 16,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922238,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-27,Nigeria,Cameroon,nigeria,cameroon,2,0,home,Round of 16,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922239,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-28,Equatorial Guinea,Guinea,equatorial guinea,guinea,0,1,away,Round of 16,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922240,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-28,Egypt,Congo DR,egypt,congo dr,1,1,draw,Round of 16,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922241,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-29,Cape Verde Islands,Mauritania,cape verde,mauritania,1,0,home,Round of 16,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922242,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-29,Senegal,Côte d'Ivoire,senegal,cote divoire,1,1,draw,Round of 16,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922243,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-30,Morocco,South Africa,morocco,south africa,0,2,away,Round of 16,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922244,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-01-30,Mali,Burkina Faso,mali,burkina faso,2,1,home,Round of 16,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922321,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-02-02,Nigeria,Angola,nigeria,angola,1,0,home,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922356,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-02-02,Congo DR,Guinea,congo dr,guinea,3,1,home,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922658,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-02-03,Cape Verde Islands,South Africa,cape verde,south africa,0,0,draw,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922659,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-02-03,Mali,Côte d'Ivoire,mali,cote divoire,1,2,away,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922837,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-02-07,Nigeria,South Africa,nigeria,south africa,1,1,draw,Semi-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3922838,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-02-07,Côte d'Ivoire,Congo DR,cote divoire,congo dr,1,0,home,Semi-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3923880,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-02-10,South Africa,Congo DR,south africa,congo dr,0,0,draw,3rd Place Final,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3923881,African Cup of Nations,2023,1267,107,African Cup of Nations 2023,2024-02-11,Nigeria,Côte d'Ivoire,nigeria,cote divoire,1,2,away,Final,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/1267/107.json
3939969,Copa America,2024,223,282,Copa America 2024,2024-06-21,Argentina,Canada,argentina,canada,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939970,Copa America,2024,223,282,Copa America 2024,2024-06-22,Peru,Chile,peru,chile,0,0,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939971,Copa America,2024,223,282,Copa America 2024,2024-06-23,Mexico,Jamaica,mexico,jamaica,1,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939972,Copa America,2024,223,282,Copa America 2024,2024-06-22,Ecuador,Venezuela,ecuador,venezuela,1,2,away,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939973,Copa America,2024,223,282,Copa America 2024,2024-06-24,Uruguay,Panama,uruguay,panama,3,1,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939974,Copa America,2024,223,282,Copa America 2024,2024-06-23,United States,Bolivia,united states,bolivia,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939975,Copa America,2024,223,282,Copa America 2024,2024-06-24,Colombia,Paraguay,colombia,paraguay,2,1,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3939976,Copa America,2024,223,282,Copa America 2024,2024-06-25,Brazil,Costa Rica,brazil,costa rica,0,0,draw,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
